Unique ID,Q11: Can you tell us about your most memorable experience with voice recognition technology? What was the technology and how did you use it? Did you accomplish what you wanted through using it?,Q13: Can you share a time where you had a challenge with your way of speaking (edited for testing purposes) being understood by voice recognition systems?,Q16: How does it make you feel when your voice assistant doesn't understand your speech/makes frequent mistakes?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD24-621,"I think memorable not to me but for My nephew he asked when was Chris how many days till Christmas I think it was just amazing to have someone who have technically have never used it but he wanted a question and I didn't answer the question and he used it automatically because he's seen it in in the home so much So my nephew just he want to know when Christmas was I thought that was really interesting that he didn't need to be prompted and he just did it by himself Because I think he now is almost 4
[INT: Yeah]
But I didn't realize he
I wasn't paying I think it was doing something I said OK I don't know And then I did something else and I then I heard yeah
[INT: And there was no like tutorial It was just like]
no he just knew","I I would not for me but for my An older aunt she could not That was the experience of her trying to use it trying to teach her how to use it and she was not able to She has a really thick accent So yeah it wasn't simple commands where it did it wasn't recognizing it yeah
And a question too I know you said Spanish here first language Do you use Siri like in Spanish or English
I think Both Probably more English though Yeah I I would say like a 90 90 10 I'll do 10 My grandparents are all gone so I don't use it as much But I think if I if I used it more often I don't use Spanish as much even though it was my first I just don't use it as much anymore because I mean my parents speak it but I I I try to speak the language instead So And essentially it's a language I'm trying to not use which is weird
 Trying to not use it as much Yeah
[INT: And do you think that there's like maybe like specific tasks that you would use like Spanish for instead of English]
Umm oh
[INT: like that you mentioned]
MMM Probably cooking Probably cooking I'll probably ask questions 'cause there's some foods I don't know what they're like in in English
 Like I know what they are But when I'm telling somebody to do something like if I tell my kids to do something the foods aren't in Spanish or in yaki I don't say them in English Yeah So probably food cooking cooking",I could I probably feel incompetent like I'm just I have no idea what I'm talking about.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD24-607,"I think the when you use the maybe like Siri or Alexa when it can't recognize what you're trying to say or especially even the on phone when it's like an emergency And you want something to happen and it can't help you because it doesn't I think it's number six on OnStar It doesn't like my number six So I could never go past number six Yeah for some reason like 6 I don't know Maybe it's I don't know what it thinks
That's the one that comes to mind other than the Thor And then when you're asking for like just simple answers sometimes when it can't provide the simple answers that that's about it yeah","Calling customer service and then yeah so when it can't recognize my voice I'll just press 000 or asterisks and tell somebody answers
[INT: We're going to switch to a representative]
Yeah I will Not even Proceed to listen to it or answer their questions That's the other thing is like they'll ask are you calling to make you know a phone call on a stolen card Or if that is the case please enter this And you know how it keeps going on And I I just don't like that
[INT: Like do you not like it because it takes so long Or is it that it does not recognize your answer]
It takes too long It's like it you give it some information then it wants more than you give that information and it wants more Like oh just give me somebody
[INT: you spend 2 hours on the phone yeah that is not great Uh any any other]
Just that sometimes it can't recognize my my voice
[INT: Do you have like a specific instance in mind or like was it when you were making a call or trying to get news]
OK here's another example One time I caught the cold and my voice changed and it was horrible I had my experience on the phone was awful like you couldn't even recognize my voice And yeah It was horrible","Frustrated Disappointed And then I guess that thought of like why isn't this program you know
yeah yeah it's not working Why isn't that
Why hasn't has anyone else thought of this question before
[INT: No that's a very good point Like I'm the author Yeah]
And then like how do I contribute How do I let them know
[INT: So you do get this feeling like how]
Like I want to help yeah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD24-624,"I would say Siri
[INT: Siri see what happened]
when I every morning when I try to listen to music maybe not every morning but it happens more than once I'm like Siri play some music And then she'll like pop up and then she'll and then she'll go back down Or I'll say Siri play some tunes like if I'm feeling happy yeah And she does she'll play the music but then she'll like go somewhere else And I'm like no Siri I'm driving I can't you know So it's like
[INT: like it's not doing what you wanted]
Exactly Or it doesn't understand me and it does something completely different This is same happens with calls too
[Siri: now playing YouTube Music]
[INT: Case in point]
I think it's just super recurrent
[INT: That's great Anything else So like listening to music Yeah you say just like]
Calls And that sucks Because if I'm like Call my Jules which is my boyfriend she’ll like She'll be like calling one time she was like calling Jule’s mom And I'm like no no don't call her his mom And I'm like no no don't call her you know so I'm there like","No I I can't I can't think of any I want to say I don't really have an like a specific experience or anecdote but before I came to the university I think my accent was more prominent or yes my my hometown like slang accent was more prominent but coming here it I had to speak in a way that was like I don’t you know
[INT: Yeah how would you describe that You you've had to like just like
pronounce
[INT: standardize]
Yes standardize make sure I'm pronouncing all my words not saying feel me or Yuh or or","Irritated irritated I feel irritated and Not selfconscious but misunderstood Maybe not like Obviously it does go deeper than that but surface level when I'm when I'm in that Experience experiencing that It it's like this is so annoying you know like I forgot what I was going to say [INT: So like irritation right Annoyance anything else]
Yeah just misunderstood but not in a deeper way just surface level like this sucks But when I do think about it in a deeper way it's like it makes like this interview just made me realize like hmm Like Yeah yeah When you think about it in deeper way like what what are your feelings towards me It would be Just the very fact that we have to Umm change the way we speak That makes me feel Angry I'm not surprised though because that's Here in the US that's It's a repeated It's a repeated pattern especially with marginalized communities
Yeah and not just with linguistics but with everything",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD24-608," MMM I guess Zoom can Zoom be option
[INT: Yeah yeah]
yeah Just like contacting people and like getting meetings done (deleted part) But yeah a Zoom date man Yeah Or not like a date like I guess I guess I I don't know like court dates and like
[INT: Oh yeah] cause I went to this one like facility place and I couldn't have access to my phone so I had to zoom my grampa and like my family and stuff So that I always appreciated Zoom for that when I didn't have a phone'
","MMM I’m tryna think MMM I’m not too sure I guess like I don't know I'm talking Bruh I don't know I can't think of a time MMM Umm I think when I was talking and like probably when I use like my res accent Like stuff they don't understand if I don't say the word like correctly I guess or like more direct
[INT: Can I ask what a RES accent is]
Umm like We have like different slang terms I guess and like we like shortcut our words I'm trying to think of words Umm We be or we be saying like I don't know there's like different things I can't think of them right now I don't know why","MMM Just like I don't know I just repeat it
It don't make me feel anything Just to say it again clearer
[INT: In those moments though where you just stop using it as you indicated above do you feel any type of wear]
Probably like annoyed I guess",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD24-610,"Uh I would say I had em I think it was an iPad at the time that had voice recognition that allowed me to go into Somehow my niece made it so it was voice recognition to go into playing a slide show I don't know how she did it but she did it And basically I apparently said the magic word And all of a sudden I had a slide show of all my nieces and horses all playing with random music in the background
[INT: Just some random horses]
our horses actually Oh Yeah she she went through my pictures She did have one random horse and that was the horse she wanted
[INT: That is so funny I did not know you could do that I didn't either Do you remember what the word was]
What was our favorite word So I call her Monkey a lot And we have a thing where if you're going to be so monkeys go get a banana I don't know if it was either monkey or bananas that made it go off
For a little girl she's very smart",My accent can be a problem sometimes [INT: Can you elaborate on that at all] I so I have moments where I can have a very thick northern accent at times so trying to do voice recognition When that tends to come out I don't They don't understand me,It gets frustrating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD24-625,"I think it's like a super cliche one but when you're on the phone where the customer service and it's a I sort of not well I guess voice recognition technology and you want to speak to an actual person but it doesn't recognize that you wanna speak to an actual person So you keep having to say like representative or come up with different words for representative that you think it might understand I think that's one super frustrating memory of of using that that type of technology yeah
[INT: It was kind of pause while there were I work a lot of times with calling people I've noticed that recently some people have Google AI assistants and like when you call them it will then take it's like they're like oh like what is the purpose of this call]
Yeah yeah
[INT:Like to confirm a reservation right and like]
[INT: Call this person and then it's like OK I'll try putting it through Then it's like well can I take a message Couldn't we just use a voicemail]
Yeah yeah yeah yeah yeah
[INT: There's all these different things and it can't hear you Right]
Exactly And it's sort of to put you in circles and you just keep going right around So it's like super frustrating
[INT: It is just the worst]
Yeah","Yeah I think the the biggest one well that one obviously being in the car trying to be understood by voice recognition systems when you're calling customer service This is the closed captioning technology on PowerPoint That's another big one But also when I'm using these technologies I'm very aware of the way that I'm speaking And so I adopt A more general American accent when I'm trying to access these I never really use my like natural Reservation accent when I'm using these technologies I haven't really tried this but I assume that if I did I would have more difficulty using my natural accent than a more American general accent Yeah Yeah
[INT: So it's not something that you probably would be very comfortable with and it would take a lot of like effort to try And if you were messing around with seeing if it's understanding]
yeah yeah yeah
[INT: More of an accent from reservation and]
Exactly Yeah So even if I'm on the reservation if I'm around people who have the same accent as me If I have to call like customer service or if I have to do something with the voice recognition I will switch over even if there's nobody around that requires me to do that Just the fact that I'm using this technology to me signals Standard English non You know non reservation English",Frustrated more so than anything right So because I'm I'm using like a standard American dialect I assume it's not necessarily a problem with my speech more a problem with the technology and so it doesn't make me selfconscious about the way that I'm talking if I'm using this adopted accent So the frustration comes in and me thinking well this isn't really a good technology so I probably shouldn't use this in the future or you know they should probably update this in the future or something right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD24-612,Does it have to be specific or just in general [INT: You can either or if you think of a general one but also if you think a specific one] OK I would say just generally like listening to incoming messages Like you say like Siri for example anytime I would get like a new text message she would read out like the actual text message and you know just transcribe what's going on,Yes I would definitely say so Maybe when The when I was the age around 10 or 12ish well it wasn't really introduced back then but it was barely if it's like infancy like where you know all these phones were introducing these assistants I used to speak with a heav with a heavy uh not a stutter but Speech impediment I don't know if that's the right term but that's the closest I can think of right now And Most of those times where I did try to speak with these assistants it would just not recognize what I said at all I guess maybe like a voice quirk I I don't know I don't know the right terminology for stuff so,Definitely back then it was demoralizing I would say so because and frustrating because you know like having you repeat yourself like every single time Like sometimes you just get fed up with it and just say oh and just let me do it myself you know Yeah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD24-626,My most memorable one I think was asking Siri to beatbox and then copying that with my friends with the boots and cats and boots and cats and and that was probably that was probably it,Was when it was still like very new And I at that point it it did not understand what I was saying And was that Siri or another I think that was Siri I believe But I also sounded like a fifth grader and so my voice was a lot higher I probably didn't enunciate very well and I probably spoke really fast,I just get annoyed Pretty quickly I'm like oh that didn't work Moving on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD24-618,Umm usually when I have an important event that comes up I always ask Siri to set a reminder Especially like when I'm driving and stuff I always Like turn on the dial on my phone and say Hey Siri set a reminder for this certain time and certain date and she replies it back to me and I said yes and then she'll set it,"Yes all the time So sometimes when I ask Siri to set a timer for a certain amount of time she always gets it wrong I think it's a certain forgot what number it is that she has a hard time hearing me on Umm  

[Interviewer: would it be 6 by chance] 

Yeah yeah it is

[Interviewer: Yeah that's really interesting We had another respondent say the same thing]

Yeah I think I ask her like hey Siri can you set a timer for 6 minutes and then it sets a timer for 60 minutes and I'm like no Or it sets a timer for a different set of a minute and I'm like what the So during those times I had to manually input it",I get frustrated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
